iter	Logloss	Accuracy
0	0.1811926688	0.9715741312
1	0.1283662351	0.9715741312
2	0.11513019	0.9715741312
3	0.1103390979	0.9715741312
4	0.1093357752	0.9715741312
5	0.1081471717	0.9715741312
6	0.1080191568	0.9715849477
7	0.1075576308	0.9716065808
8	0.1072171612	0.9716390304
9	0.1066683016	0.9716282139
10	0.1066393824	0.9716282139
11	0.1065333248	0.9716390304
12	0.1062743326	0.9716282139
13	0.1059752476	0.97167148
14	0.1057111221	0.9716931131
15	0.1056446688	0.9717147462
16	0.1055869603	0.9717255627
17	0.1054350667	0.9717580124
18	0.1053401323	0.9717471958
19	0.1050778774	0.9718229116
20	0.1047193121	0.9718445447
21	0.1046246227	0.9718661778
22	0.1043425092	0.9718878108
23	0.1039013336	0.9718445447
24	0.1036868995	0.9719094439
25	0.1035555253	0.9719635266
26	0.1033086854	0.9719851597
27	0.1030370491	0.9720176093
28	0.1026719695	0.9720825086
29	0.1024707116	0.9721474078
30	0.1021659452	0.9722880228
31	0.1019890088	0.9722988394
32	0.1017686354	0.9722772063
33	0.1014351172	0.9723421055
34	0.10110347	0.9724178213
35	0.1006633445	0.9724178213
36	0.1004458168	0.9724178213
37	0.1003048471	0.9724070048
38	0.1000420209	0.972450271
39	0.0998255409	0.9724935371
40	0.09961826432	0.9725151702
41	0.09933590441	0.9725259867
42	0.09898978653	0.9726017025
43	0.09869657594	0.9727423176
44	0.09855339203	0.9727531341
45	0.09828623276	0.9727531341
46	0.09827846275	0.9727531341
47	0.09806743989	0.9727206845
48	0.09776283371	0.9729153822
49	0.09753249307	0.9729802814
50	0.09735447282	0.9730019145
51	0.0971231166	0.9730019145
52	0.09674668135	0.9729802814
53	0.09647507885	0.9730019145
54	0.09625363266	0.9730559972
55	0.09623205072	0.9730668138
56	0.09597927933	0.9731641626
57	0.0959072674	0.9731857957
58	0.09585903867	0.9731966123
59	0.09576047441	0.9732074288
60	0.09568469483	0.9732290619
61	0.0953568739	0.9733480438
62	0.0951552931	0.9733480438
63	0.09484184522	0.9733804935
64	0.09454945841	0.9734129431
65	0.09429783683	0.9733588604
66	0.09397739263	0.9734129431
67	0.09383065486	0.9734237596
68	0.09380230087	0.9734670258
69	0.09354010904	0.9735968243
70	0.09352726844	0.9735968243
71	0.09342579814	0.973650907
72	0.09315976838	0.9737482558
73	0.09311096625	0.9737374393
74	0.09306912093	0.9737698889
75	0.09293977529	0.9737698889
76	0.0929038732	0.9738023385
77	0.09275844577	0.9738672378
78	0.09269814613	0.9738888709
79	0.09248255079	0.9738347882
80	0.09230060506	0.9738780543
81	0.09212122738	0.9738888709
82	0.09207567886	0.9739105039
83	0.09186264341	0.973932137
84	0.09181668253	0.9739645866
85	0.09160634914	0.9739862197
86	0.09127267269	0.9740294859
87	0.09123921669	0.9740294859
88	0.09107698481	0.9740078528
89	0.09094812117	0.9740727521
90	0.09059356811	0.9741268348
91	0.09047216641	0.9741484678
92	0.09029460018	0.9742241836
93	0.09011660562	0.9742566332
94	0.08993622917	0.9742566332
95	0.08970286887	0.9742025505
96	0.08965403129	0.9742458167
97	0.08948132128	0.9743539821
98	0.08932277225	0.9744405144
99	0.08928131402	0.9744621475
100	0.08912287815	0.9744729641
101	0.0889789798	0.9745378633
102	0.08893185172	0.9745270468
103	0.08888715289	0.9745594964
104	0.08859678779	0.9745162302
105	0.08829547643	0.9746352122
106	0.08819644507	0.9746243956
107	0.08796972229	0.9746460287
108	0.08772745383	0.9747433776
109	0.08750579456	0.9747758272
110	0.08725012381	0.974851543
111	0.08702690494	0.9749597084
112	0.08683814914	0.9749272588
113	0.08682865599	0.9749488918
114	0.08659307287	0.9749272588
115	0.08653242243	0.9749380753
116	0.08626999702	0.9749488918
117	0.08615599436	0.974992158
118	0.08605925699	0.974992158
119	0.08602109563	0.9750137911
120	0.08584824319	0.9750678738
121	0.08567554604	0.9750786903
122	0.08542001149	0.9750570573
123	0.08526834953	0.975132773
124	0.08501360064	0.9751976723
125	0.08487160495	0.9751976723
126	0.08471841261	0.9751652227
127	0.08452466378	0.9751760392
128	0.08450305553	0.9751760392
129	0.08425786223	0.9751976723
130	0.08401940148	0.9752842046
131	0.0837905581	0.9753382873
132	0.08360187189	0.9755221685
133	0.0834761404	0.9755654347
134	0.08336096551	0.9755762512
135	0.08312951913	0.9756087008
136	0.08288268652	0.9755762512
137	0.08284190404	0.9756195174
138	0.08258703932	0.9755978843
139	0.08238708883	0.9756087008
140	0.0823455004	0.9756303339
141	0.08229622948	0.975651967
142	0.08215424555	0.9756736001
143	0.08209231612	0.9756844166
144	0.0820482125	0.9757168662
145	0.08200440847	0.9757168662
146	0.08196057676	0.9757168662
147	0.08171659335	0.9757276828
148	0.08143559774	0.9758466647
149	0.08107779937	0.9758033986
150	0.08103637947	0.9758358482
151	0.08093981988	0.9758358482
152	0.08075130326	0.9758899309
153	0.0805606306	0.9760305459
154	0.08048117793	0.9760197294
155	0.08023068785	0.9759980963
156	0.08017144045	0.9760089128
157	0.07996199779	0.9760089128
158	0.07978806258	0.9759980963
159	0.07971325208	0.9760197294
160	0.07946282877	0.9760738121
161	0.07931312903	0.9761062617
162	0.07929684547	0.9761170782
163	0.07918764838	0.9761711609
164	0.07918677973	0.9761819775
165	0.07907664946	0.9762036106
166	0.07899807891	0.976192794
167	0.07898536948	0.9762144271
168	0.07890927694	0.9762576933
169	0.07882473051	0.9762793263
170	0.07871201529	0.9763009594
171	0.07868604849	0.976333409
172	0.07859467551	0.976311776
173	0.07856466221	0.976333409
174	0.0784209776	0.9764740241
175	0.07835142071	0.9764848406
176	0.07814931851	0.9764848406
177	0.0779328071	0.9764091248
178	0.07788719207	0.9763983083
179	0.07757166095	0.9764307579
180	0.07747806334	0.9764740241
181	0.07722342761	0.9766254556
182	0.07714342714	0.9766470887
183	0.07689102223	0.9767011714
184	0.07671600621	0.976711988
185	0.07655583662	0.976852603
186	0.0765205503	0.9768417865
187	0.07645768587	0.9768309699
188	0.07641244928	0.9768309699
189	0.07622920577	0.976852603
190	0.07612492227	0.9769175022
191	0.07597394144	0.9769066857
192	0.07583438931	0.9769175022
193	0.07564503553	0.9769283188
194	0.07554840469	0.9769824015
195	0.07521580039	0.9770581173
196	0.07511600834	0.9770689338
197	0.07487309163	0.9770797504
198	0.07468000884	0.9771446496
199	0.0745712959	0.9771770992
200	0.0745430145	0.9771987323
201	0.07453406999	0.9772203654
202	0.07448839916	0.977252815
203	0.07446152377	0.977252815
204	0.07444288695	0.9772744481
205	0.07424512287	0.9773068977
206	0.07408976255	0.9773826135
207	0.07390511316	0.97739343
208	0.07376504804	0.9774366962
209	0.07367479667	0.9774583293
210	0.0735776875	0.9775015954
211	0.07350256688	0.9775015954
212	0.07348022606	0.9774907789
213	0.07330527613	0.9775448616
214	0.07322485108	0.9775773112
215	0.07306798018	0.9776854766
216	0.07303069837	0.9776854766
217	0.07300249678	0.9777287428
218	0.07298842571	0.9777503759
219	0.07291162388	0.9777611924
220	0.07270002826	0.9778369082
221	0.07256061416	0.9778909909
222	0.07246367268	0.977912624
223	0.07229986641	0.9779450736
224	0.07227989343	0.9779667067
225	0.07217971603	0.9780099729
226	0.07197092554	0.9780099729
227	0.07183926876	0.9781073217
228	0.07168698938	0.9781830375
229	0.07167616373	0.9781830375
230	0.07164102645	0.978172221
231	0.0715248761	0.978172221
232	0.07131697249	0.978193854
233	0.07114030056	0.9782587533
234	0.0710303643	0.9782803864
235	0.07095777453	0.9782912029
236	0.07095166996	0.9782912029
237	0.07087944189	0.9783020194
238	0.07072626143	0.9783020194
239	0.07046172219	0.9783452856
240	0.07031646028	0.9784750841
241	0.07018171079	0.9784967172
242	0.07006574642	0.9785507999
243	0.07003986942	0.978572433
244	0.06977533771	0.9786048826
245	0.06961824835	0.9785832495
246	0.06950562128	0.9786265157
247	0.06934640541	0.9786156991
248	0.06920771048	0.9787238645
249	0.06918181727	0.9787346811
250	0.06911164262	0.9787022315
251	0.06896861008	0.9788212134
252	0.06888900927	0.9788320299
253	0.06872481933	0.9788644796
254	0.06847507582	0.9789510119
255	0.0682916576	0.9789510119
256	0.06812956406	0.9789834615
257	0.06797583283	0.9790591773
258	0.06786858501	0.9790050946
259	0.06779400087	0.9790050946
260	0.06776205738	0.9790159111
261	0.06757111396	0.9790483608
262	0.06740606394	0.9791348931
263	0.06725937583	0.9791673427
264	0.06714934326	0.9792430585
265	0.06708253656	0.9792322419
266	0.06694824829	0.9792646916
267	0.06683673426	0.9793404074
268	0.06680966777	0.9793512239
269	0.06660716876	0.9794269397
270	0.06643677025	0.9794161231
271	0.06628202802	0.9794918389
272	0.06613188992	0.9795459216
273	0.06602527295	0.9796324539
274	0.06588342021	0.9795567382
275	0.06582938862	0.9795783712
276	0.06569359594	0.9795675547
277	0.06563812814	0.9795891878
278	0.06540795335	0.9796000043
279	0.06520286013	0.9796432705
280	0.06518670569	0.9796649036
281	0.06511040735	0.979654087
282	0.06494246095	0.9797838855
283	0.06491647763	0.979773069
284	0.06488462065	0.9797622524
285	0.06475745897	0.9797298028
286	0.06466355036	0.9797838855
287	0.06450850257	0.9798055186
288	0.06442691644	0.9798704178
289	0.06438218602	0.979913684
290	0.06436346711	0.979913684
291	0.06430476794	0.979913684
292	0.06418997823	0.9799353171
293	0.06396521035	0.9799893998
294	0.06380682641	0.9800110329
295	0.06357989954	0.9800218494
296	0.06342698143	0.9801083817
297	0.06325298893	0.9801408314
298	0.06321523019	0.9801516479
299	0.06314721973	0.9801840975
300	0.06308312133	0.980173281
301	0.06303371785	0.9801949141
302	0.06300373373	0.9801949141
303	0.06275294537	0.9802381802
304	0.06255257756	0.980173281
305	0.06235317323	0.9802598133
306	0.06226230133	0.9803896118
307	0.06218612403	0.9804220614
308	0.06212932426	0.9804436945
309	0.0621193352	0.9804436945
310	0.06209666242	0.9804653276
311	0.06190388842	0.9805085937
312	0.06177427659	0.9805951261
313	0.06173826918	0.9806275757
314	0.06167139054	0.9806275757
315	0.06146534624	0.9806275757
316	0.06138698234	0.9806708419
317	0.0612551235	0.9807249246
318	0.06117211372	0.9807898238
319	0.06105953036	0.9807790073
320	0.06085314378	0.98083309
321	0.06078989098	0.9808871727
322	0.06057679907	0.9809953381
323	0.06047328483	0.9810710539
324	0.06040180937	0.9810926869
325	0.06032169553	0.9811792193
326	0.06015905537	0.981233302
327	0.06004336111	0.9812873847
328	0.06003967472	0.9812873847
329	0.05994360144	0.9813414674
330	0.05984545535	0.9813847335
331	0.05980439437	0.9813847335
