iter	QueryRMSE	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
0	0.1638659257	0.04750686446	0.736785905	0.2160445216
4	0.1632434378	0.05498150408	0.8115323011	0.2487762608
8	0.1627166955	0.0585319579	0.8470368393	0.2560665768
12	0.1622840801	0.05903916559	0.8521089162	0.2556144544
16	0.161877567	0.05914594615	0.8531767218	0.2565696531
20	0.1615801946	0.05959976356	0.8577148959	0.2579821651
24	0.1613163825	0.0596264587	0.8579818473	0.2581870397
28	0.1610793122	0.05981332469	0.8598505072	0.2591460521
32	0.1608744672	0.05973323926	0.859049653	0.2597108874
36	0.1607212474	0.0600802761	0.8625200214	0.2600481784
40	0.1605693993	0.0599468004	0.8611852643	0.2603427783
44	0.1604453663	0.06021375181	0.8638547784	0.260929224
48	0.1603338845	0.06016036153	0.8633208756	0.2611687387
52	0.1602399868	0.06037392266	0.8654564869	0.2621127086
56	0.1601458366	0.06042731294	0.8659903897	0.2635185468
60	0.1600664596	0.06069426436	0.8686599039	0.2629935423
64	0.1599926358	0.06064087408	0.8681260011	0.262819918
68	0.1599279419	0.06064087408	0.8681260011	0.2634090119
72	0.159872829	0.06085443521	0.8702616124	0.2636555183
76	0.1598223495	0.06101460606	0.8718633209	0.2646542555
80	0.1597620771	0.06101460606	0.8718633209	0.2650537293
84	0.1597131009	0.06098791091	0.8715963695	0.2649716311
88	0.1596582398	0.06106799634	0.8723972237	0.265505428
92	0.1596106132	0.06106799634	0.8723972237	0.2662090357
96	0.1595654627	0.06112138662	0.8729311265	0.2671533233
100	0.1595254552	0.0611747769	0.8734650294	0.267400889
104	0.1594853346	0.06133494775	0.8750667379	0.2680169959
108	0.1594492279	0.06130825261	0.8747997864	0.2685751574
112	0.1594147004	0.0614951186	0.8766684463	0.2690609666
116	0.1593983879	0.06162859431	0.8780032034	0.2695096992
120	0.1593690898	0.06173537488	0.8790710091	0.2700178603
124	0.1593401516	0.06189554572	0.8806727176	0.2704796227
128	0.159311581	0.06186885058	0.8804057662	0.2709724235
132	0.159281551	0.06208241172	0.8825413775	0.2715488055
136	0.1592488372	0.062135802	0.8830752803	0.2716028314
140	0.1592163349	0.06218919228	0.8836091831	0.2719191476
144	0.1591883845	0.06224258256	0.884143086	0.2723797447
148	0.1591608764	0.06234936313	0.8852108916	0.272817884
152	0.1591352525	0.06240275341	0.8857447944	0.273006445
156	0.15910997	0.06237605827	0.885477843	0.2733260451
160	0.1590801669	0.06242944855	0.8860117459	0.2734491394
164	0.1590440373	0.0624561437	0.8862786973	0.2737584641
168	0.1590167943	0.06248283884	0.8865456487	0.2741694845
172	0.1589723247	0.06256292426	0.8873465029	0.2749102747
176	0.1589562143	0.06253622912	0.8870795515	0.2749070967
180	0.1589331167	0.06264300969	0.8881473572	0.2755251104
184	0.1589192256	0.0625896194	0.8876134544	0.2756956627
188	0.1589000027	0.06272309511	0.8889482114	0.275994394
192	0.1588776164	0.06282987568	0.8900160171	0.2762825321
196	0.1588615572	0.06285657082	0.8902829685	0.2764056263
200	0.1588420639	0.06285657082	0.8902829685	0.2768157993
204	0.1588096526	0.06285657082	0.8902829685	0.2779084992
208	0.1587951657	0.06285657082	0.8902829685	0.2779663387
212	0.1587714452	0.0629099611	0.8908168713	0.2784104103
216	0.1587502143	0.06301674167	0.891884677	0.278946114
220	0.1587269291	0.06309682709	0.8926855312	0.2795913525
224	0.1587085375	0.06304343681	0.8921516284	0.2798213332
228	0.1586912985	0.06309682709	0.8926855312	0.2802647692
232	0.1586693314	0.06312352223	0.8929524826	0.2806853236
236	0.1586435218	0.06307013195	0.8924185798	0.2805612759
240	0.1586283839	0.06307013195	0.8924185798	0.2807341588
244	0.158610835	0.06307013195	0.8924185798	0.2810364918
248	0.1585913563	0.06315021737	0.8932194341	0.2816037636
252	0.1585609232	0.06312352223	0.8929524826	0.2820001653
256	0.1585343138	0.06315021737	0.8932194341	0.2824305714
260	0.158503969	0.06317691252	0.8934863855	0.2829900042
264	0.1584756843	0.06331038822	0.8948211426	0.2830276104
268	0.1584484351	0.06328369308	0.8945541911	0.2833310028
272	0.1584324606	0.06328369308	0.8945541911	0.2836891626
276	0.1583939909	0.06328369308	0.8945541911	0.2839795253
280	0.1583711188	0.06331038822	0.8948211426	0.2844032577
284	0.1583508317	0.06331038822	0.8948211426	0.2846957389
288	0.1583275057	0.06333708337	0.895088094	0.2848111001
292	0.1583059639	0.06333708337	0.895088094	0.2850072882
296	0.1582827636	0.06336377851	0.8953550454	0.2854373766
300	0.158267149	0.06331038822	0.8948211426	0.2853426724
304	0.1582526723	0.06336377851	0.8953550454	0.285633035
308	0.1582287278	0.06344386393	0.8961558996	0.2862423622
312	0.1582114031	0.06349725421	0.8966898025	0.286294905
316	0.1581804917	0.06352394936	0.8969567539	0.2866903533
320	0.1581601542	0.06352394936	0.8969567539	0.286990144
324	0.1581426779	0.06357733964	0.8974906567	0.287208578
328	0.1581190459	0.06352394936	0.8969567539	0.2873631344
332	0.1580921428	0.06352394936	0.8969567539	0.2879760634
336	0.1580719266	0.0635506445	0.8972237053	0.2885969373
340	0.1580545561	0.06352394936	0.8969567539	0.2888519182
344	0.1580447483	0.06360403478	0.8977576081	0.2890196103
348	0.1580215125	0.06365742506	0.8982915109	0.2893651641
352	0.1580067545	0.06365742506	0.8982915109	0.289913262
356	0.1579886181	0.06376420563	0.8993593166	0.2901249163
